Year,Reconstructed_Flow_AF
900,2269190
901,4156731
902,2265308
903,3449882
904,3408617
905,3219012
906,3588241
907,2179821
908,2010199
909,2354613
910,4054913
911,3816849
912,2957596
913,1283607
914,4687287
915,1313275
916,3952702
917,2990904
918,1732099
919,2637604
920,3310146
921,1815093
922,2708985
923,2128326
924,1385886
925,3394057
926,3492546
927,2870296
928,1740382
929,1664038
930,1287368
931,3194342
932,1781581
933,1453250
934,3290895
935,2821306
936,1808126
937,3593531
938,1628322
939,2279321
940,3364714
941,3413708
942,1862157
943,2062161
944,2890048
945,2084234
946,2448841
947,1954293
948,1797225
949,1982072
950,2329020
951,3646152
952,1668161
953,2621908
954,1063769
955,2827710
956,3616324
957,791546
958,2119387
959,3231730
960,3224101
961,1224504
962,1522362
963,3525399
964,2477052
965,2568192
966,2299380
967,2492043
968,4116153
969,1590476
970,4564198
971,1820407
972,3195838
973,3869774
974,4210787
975,1631178
976,3498090
977,2435019
978,1586554
979,987045
980,2665907
981,1432041
982,2627559
983,1509824
984,3353614
985,3879016
986,1277946
987,2969080
988,3444362
989,2997199
990,2729156
991,3901135
992,3570707
993,4089378
994,2796516
995,2092062
996,2974068
997,4249490
998,3372678
999,2720222
1000,3944970
1001,3942194
1002,4110672
1003,4280384
1004,3538239
1005,2764761
1006,4747963
1007,3175962
1008,4097267
1009,4032160
1010,2707572
1011,4044685
1012,1468902
1013,4114356
1014,3112303
1015,4359136
1016,4117087
1017,3278564
1018,2812218
1019,4749074
1020,3616951
1021,2732527
1022,2716635
1023,4929410
1024,3955832
1025,1518333
1026,4300321
1027,3537786
1028,2536708
1029,3154916
1030,2809705
1031,4119479
1032,2352779
1033,3648925
1034,3928939
1035,1764417
1036,4294088
1037,2852218
1038,2817238
1039,1968042
1040,1813627
1041,4061385
1042,3754994
1043,1470670
1044,1974508
1045,4090453
1046,2622645
1047,1869057
1048,2464619
1049,2776947
1050,2194238
1051,2902155
1052,1416098
1053,2015612
1054,4067163
1055,1532745
1056,2530340
1057,3192325
1058,2236609
1059,1061529
1060,1213316
1061,3176286
1062,1955862
1063,2317278
1064,4095799
1065,3036953
1066,2031306
1067,3111930
1068,3975373
1069,1862962
1070,1111568
1071,4071439
1072,1290867
1073,2585667
1074,2356912
1075,1994007
1076,3212652
1077,2265567
1078,1688752
1079,3689109
1080,2703073
1081,3133089
1082,2054459
1083,2989476
1084,2746690
1085,2521859
1086,1755339
1087,3949165
1088,2818721
1089,3810180
1090,1651731
1091,4237683
1092,1972663
1093,962570
1094,4262156
1095,3370830
1096,2915660
1097,2932646
1098,1266321
1099,2857345
1100,4294655
1101,2833799
1102,3194276
1103,1439200
1104,4178289
1105,3377332
1106,2366754
1107,2947251
1108,2925097
1109,3566638
1110,3085682
1111,2582952
1112,3272981
1113,4271932
1114,1838395
1115,2703673
1116,4295851
1117,2926975
1118,4007371
1119,3782649
1120,3647652
1121,2839492
1122,4455849
1123,1478359
1124,2744268
1125,4225373
1126,770317
1127,3905976
1128,4204614
1129,3786602
1130,1670249
1131,1775420
1132,3166611
1133,2503429
1134,2596416
1135,1624344
1136,3382540
1137,2042438
1138,3248322
1139,2476117
1140,1461914
1141,1984758
1142,2630275
1143,2139302
1144,1880275
1145,1317270
1146,1565215
1147,3145929
1148,1600245
1149,3768095
1150,1470129
1151,2014043
1152,1654387
1153,3295973
1154,2780830
1155,2015864
1156,1777309
1157,2561417
1158,2182141
1159,4107478
1160,2691700
1161,2007239
1162,1966549
1163,3962641
1164,1290808
1165,4300074
1166,3651963
1167,3764265
1168,2173598
1169,4907694
1170,1517766
1171,3488088
1172,2295376
1173,2454692
1174,1727433
1175,1303158
1176,2642502
1177,1359480
1178,3677044
1179,2769351
1180,2566595
1181,3738222
1182,3362892
1183,998266
1184,4046238
1185,1268694
1186,3529304
1187,1404970
1188,4337475
1189,2943550
1190,3539990
1191,2900628
1192,3463331
1193,4051775
1194,2106829
1195,4635876
1196,1826747
1197,2887992
1198,1702464
1199,2578623
1200,3778805
1201,1809873
1202,4102073
1203,2948004
1204,4249101
1205,3645366
1206,1248772
1207,2554035
1208,2519308
1209,4010870
1210,1722131
1211,1872555
1212,3006095
1213,1921705
1214,4149264
1215,1823317
1216,4161033
1217,1239692
1218,1322807
1219,4139331
1220,3984162
1221,2631231
1222,2172216
1223,2351497
1224,3270516
1225,4135298
1226,1911360
1227,1699788
1228,3326366
1229,4199049
1230,2399036
1231,1377240
1232,4111211
1233,2306259
1234,2462247
1235,3052027
1236,1700579
1237,1606833
1238,3010401
1239,2200799
1240,3266597
1241,4090556
1242,2090338
1243,2362955
1244,1817773
1245,1809198
1246,4220303
1247,2773737
1248,4128853
1249,2926140
1250,1304783
1251,2120303
1252,3249196
1253,2454573
1254,1369505
1255,2432663
1256,4133750
1257,1506829
1258,1808727
1259,3911889
1260,1752023
1261,1658712
1262,4319541
1263,2909483
1264,1125324
1265,3852311
1266,3527250
1267,3714969
1268,2555892
1269,1616894
1270,4379704
1271,1882556
1272,3463492
1273,1428375
1274,4180536
1275,1967325
1276,1620656
1277,4035759
1278,2899869
1279,1553146
1280,3937212
1281,2502269
1282,3539646
1283,4280276
1284,2395902
1285,687362
1286,4407194
1287,4174549
1288,2274429
1289,2341342
1290,3920505
1291,4406403
1292,1559968
1293,3384209
1294,2289224
1295,2588743
1296,825707
1297,2260235
1298,2476425
1299,1576063
1300,1460566
1301,2808191
1302,3650368
1303,2183199
1304,3623435
1305,3502650
1306,2910818
1307,2008168
1308,4094836
1309,1530521
1310,4181780
1311,1632724
1312,4070290
1313,3697749
1314,3964991
1315,2341106
1316,1497338
1317,3350332
1318,4013374
1319,2814582
1320,1887516
1321,3672119
1322,3624056
1323,3012489
1324,1011794
1325,2053939
1326,4130823
1327,4261807
1328,2413910
1329,2526652
1330,4403819
1331,4245645
1332,2932599
1333,2934719
1334,4387694
1335,1487704
1336,4108902
1337,4310671
1338,3407989
1339,3904051
1340,2539153
1341,4452341
1342,2894441
1343,2681623
1344,3283999
1345,4145965
1346,4190955
1347,3860301
1348,2964665
1349,4192247
1350,3589983
1351,1555243
1352,1653852
1353,4300442
1354,2352561
1355,2122574
1356,4341333
1357,4097303
1358,1150734
1359,4237366
1360,4060061
1361,2023208
1362,4210225
1363,4106484
1364,2575779
1365,1849382
1366,4183527
1367,4110730
1368,3781011
1369,2654049
1370,3992417
1371,1915845
1372,3645405
1373,3122770
1374,4155651
1375,2120895
1376,3911204
1377,976887
1378,4101455
1379,1713174
1380,3116719
1381,4090726
1382,2283614
1383,4158670
1384,1888418
1385,4292842
1386,3133989
1387,3309248
1388,4155355
1389,4305602
1390,1300249
1391,2426537
1392,3579885
1393,3281811
1394,4313768
1395,2515497
1396,1945929
1397,1844226
1398,2570087
1399,2390795
1400,2223962
1401,2598219
1402,1648883
1403,3007513
1404,2531799
1405,3000362
1406,3293326
1407,1169069
1408,1866278
1409,2759247
1410,1228073
1411,4021831
1412,4174188
1413,956267
1414,3595509
1415,2972110
1416,1674368
1417,2469621
1418,3002277
1419,2022954
1420,4411408
1421,1740764
1422,4396864
1423,4186112
1424,4161461
1425,1818836
1426,1365030
1427,2371308
1428,2203005
1429,3588227
1430,2173068
1431,1420962
1432,1466815
1433,3280189
1434,2058652
1435,3621281
1436,3682562
1437,2177820
1438,2558018
1439,2214942
1440,4456400
1441,4144418
1442,2557784
1443,2850087
1444,1707287
1445,4024979
1446,1996559
1447,2934651
1448,2467646
1449,2790127
1450,2057330
1451,1924717
1452,1256867
1453,2141306
1454,1500830
1455,2603016
1456,1584296
1457,2325738
1458,2263975
1459,1055440
1460,2237070
1461,1562549
1462,3095703
1463,2809879
1464,1468595
1465,1626649
1466,2281579
1467,3983694
1468,862364
1469,3073258
1470,3929623
1471,2301577
1472,2307460
1473,1977578
1474,2213965
1475,1336257
1476,1387906
1477,2324493
1478,2534844
1479,915623
1480,1689910
1481,2578034
1482,1794888
1483,1714559
1484,4152873
1485,3438743
1486,2977880
1487,2736110
1488,2812033
1489,3721166
1490,3185331
1491,3469989
1492,2236167
1493,3486002
1494,3548782
1495,2632400
1496,3341947
1497,1356902
1498,2801720
1499,1551230
1500,1023939
1501,3476474
1502,2495543
1503,3632472
1504,3158861
1505,1630167
1506,2580196
1507,1622706
1508,1628663
1509,3464410
1510,2104900
1511,1933389
1512,3073941
1513,3175044
1514,2825569
1515,1165064
1516,1828299
1517,3650228
1518,965602
1519,1711311
1520,2621014
1521,1784223
1522,2694448
1523,1877023
1524,4106720
1525,4064015
1526,3254912
1527,2544217
1528,3022303
1529,1114994
1530,4191659
1531,3155771
1532,939676
1533,1535034
1534,4152959
1535,4063094
1536,3308271
1537,1628193
1538,3285691
1539,4422575
1540,2066435
1541,909959
1542,1926331
1543,2012843
1544,2139402
1545,1760680
1546,2990948
1547,3071304
1548,975283
1549,3826579
1550,2353082
1551,2763470
1552,3156608
1553,4373584
1554,1530878
1555,1737418
1556,4195686
1557,4209381
1558,3105518
1559,3633227
1560,4216230
1561,2214607
1562,3311900
1563,2974380
1564,4381745
1565,4301016
1566,3678370
1567,3726520
1568,4212469
1569,1984059
1570,1963422
1571,1011915
1572,1984767
1573,3087350
1574,2790965
1575,2065734
1576,1399204
1577,4223755
1578,2502924
1579,787519
1580,212321
1581,2836709
1582,1832661
1583,3592752
1584,1973925
1585,1711350
1586,2205854
1587,3557233
1588,2693519
1589,4249351
1590,1405889
1591,3781119
1592,2210315
1593,1834929
1594,2030184
1595,1107384
1596,3998211
1597,2424882
1598,2990232
1599,4211770
1600,1835171
1601,4251888
1602,3032735
1603,3052625
1604,3810728
1605,4126885
1606,4232919
1607,2041493
1608,4391620
1609,3286725
1610,4140829
1611,4455845
1612,3394102
1613,1226741
1614,3061730
1615,4022311
1616,2997892
1617,4824937
1618,2505679
1619,2426924
1620,3742937
1621,2690862
1622,1299290
1623,4395345
1624,2997489
1625,4694019
1626,1447684
1627,2993942
1628,3788069
1629,1531614
1630,2547202
1631,1502037
1632,734226
1633,2884489
1634,1797447
1635,3174558
1636,2397958
1637,1434906
1638,1660708
1639,916220
1640,3598287
1641,3857374
1642,3401803
1643,2247994
1644,2794888
1645,2105839
1646,2099144
1647,1789096
1648,2652273
1649,3975181
1650,2727093
1651,3850156
1652,2435395
1653,1565539
1654,1159627
1655,617848
1656,4082437
1657,1767531
1658,1333894
1659,1309318
1660,3983677
1661,4081604
1662,2961574
1663,2017342
1664,3262178
1665,2837653
1666,2626343
1667,822086
1668,2818662
1669,1212572
1670,1098949
1671,2962053
1672,4240753
1673,2358923
1674,3643195
1675,3125768
1676,1425072
1677,3444714
1678,2961361
1679,3291478
1680,4063558
1681,2655247
1682,3922049
1683,4129339
1684,3198066
1685,4067410
1686,1571661
1687,3546325
1688,3018798
1689,2990832
1690,1753908
1691,905839
1692,2931777
1693,3183642
1694,3033871
1695,2067128
1696,3244427
1697,4538520
1698,2345204
1699,2879881
1700,3975262
1701,2289232
1702,4262683
1703,1495797
1704,3590485
1705,3711314
1706,1593091
1707,2237923
1708,1766375
1709,4387418
1710,1455293
1711,2506217
1712,3182457
1713,3097287
1714,1824900
1715,2423877
1716,2534475
1717,3309546
1718,2548893
1719,1769516
1720,3821059
1721,1283257
1722,1522624
1723,3725508
1724,2506738
1725,4118856
1726,2687270
1727,4260752
1728,2598788
1729,418306
1730,4161023
1731,2741140
1732,4114658
1733,1167170
1734,3919073
1735,1675261
1736,1474440
1737,1697814
1738,3395772
1739,2153666
1740,4028687
1741,3592185
1742,3369942
1743,4096714
1744,3144116
1745,4652849
1746,3510320
1747,4562582
1748,1831264
1749,2950723
1750,2803032
1751,2579236
1752,3237629
1753,2445836
1754,2357219
1755,1864869
1756,1162215
1757,1286589
1758,2356858
1759,2233495
1760,2474622
1761,3329979
1762,2508034
1763,3423920
1764,2329941
1765,986100
1766,3034941
1767,3109404
1768,3423039
1769,3875327
1770,1543449
1771,3316045
1772,2608934
1773,2719682
1774,3848445
1775,2838405
1776,1376989
1777,787984
1778,1429371
1779,2632561
1780,1884779
1781,2181702
1782,624484
1783,607583
1784,3220040
1785,3688608
1786,2886008
1787,3296421
1788,1207018
1789,4137944
1790,4079962
1791,2772040
1792,4284742
1793,2530348
1794,1410150
1795,453403
1796,1133928
1797,2338037
1798,2867224
1799,3908727
1800,1531584
1801,3780209
1802,3209668
1803,2206014
1804,3255995
1805,2370828
1806,2799874
1807,1982601
1808,1795256
1809,2057717
1810,2844372
1811,4302246
1812,2123988
1813,3424692
1814,3088612
1815,2856669
1816,2654797
1817,3736963
1818,2460347
1819,3469755
1820,3216332
1821,3342904
1822,1363814
1823,1996177
1824,1246887
1825,4206543
1826,4414999
1827,2182681
1828,4111402
1829,560261
1830,3236441
1831,1559092
1832,4550725
1833,2947945
1834,2006213
1835,2625847
1836,3044008
1837,2028335
1838,4159665
1839,2905370
1840,2722320
1841,752839
1842,3593266
1843,1082948
1844,789643
1845,2647663
1846,1204866
1847,2646861
1848,2800073
1849,2224609
1850,2813774
1851,1466290
1852,3339506
1853,4140890
1854,3014770
1855,3370197
1856,1133239
1857,2467534
1858,1126398
1859,1634110
1860,3143842
1861,2886677
1862,4062761
1863,2894897
1864,791166
1865,2105282
1866,4084885
1867,3737406
1868,4849571
1869,4110718
1870,2935993
1871,1401195
1872,3613744
1873,2586413
1874,2711666
1875,2544915
1876,3981013
1877,1395584
1878,4325952
1879,2424902
1880,2207799
1881,4119951
1882,1876049
1883,1396720
1884,3915625
1885,3202473
1886,2966915
1887,2041055
1888,2626266
1889,2010655
1890,3142057
1891,4170620
1892,1801339
1893,3958924
1894,3815782
1895,3841297
1896,3697398
1897,3713458
1898,1364160
1899,2240755
1900,2971415
1901,4254857
1902,2632179
1903,2540902
1904,3281576
1905,3018064
1906,4299226
1907,4557337
1908,2800125
1909,3890826
1910,2581395
1911,4578633
1912,1554369
1913,1367570
1914,4067645
1915,3714577
1916,4097609
1917,3187839
1918,1768674
1919,2402904
1920,1642459
1921,3030781
1922,3274383
1923,3253534
1924,319446
1925,2957769
1926,1971836
1927,2434383
1928,1970743
1929,1159300
1930,1505205
1931,842969
1932,2872356
1933,1541209
1934,1029871
1935,2253013
1936,3583864
1937,2732533
1938,4225159
1939,1569287
1940,3147461
1941,3592807
1942,4179709
1943,3482861
1944,2056523
1945,3025361
1946,2342646
1947,1595970
1948,1782781
1949,1412576
1950,2092327
1951,2830968
1952,4073622
1953,3505794
1954,2893731
1955,1794794
1956,3912681
1957,2638531
1958,4607008
1959,1646834
1960,1487789
1961,1068507
1962,2746783
1963,4434917
1964,1541878
1965,4039567
1966,1795860
1967,3876963
1968,1414687
1969,4910486
1970,3002328
1971,2776123
1972,1359667
1973,2612704
1974,4022948
1975,2808588
1976,702615
1977,822541
1978,4742807
1979,2488335
1980,4448829
1981,2221638
1982,4316722
1983,4616685
1984,4061552
1985,2130535
1986,5092099
1987,1497390
1988,1447393
1989,1637731
1990,1415835
1991,1982572
1992,1622512
1993,4574252
1994,1932200
1995,4142179
1996,4152549
1997,3315623
1998,4340140
1999,3554453
2000,3593924
2001,1760456
2002,1778129
2003,3119293
2004,1884806
2005,3812802
2006,4856619
2007,1322222
2008,2009830
2009,1605421
2010,3203148
2011,4049965
2012,2470759